#Frame            all
      10       0.0000
      20       1.2997
      30       1.4982
      40       1.6351
      50       1.8532
      60       2.1726
      70       2.0158
      80       1.8841
      90       2.0999
     100       1.9285
     110       2.2187
     120       2.6499
     130       2.6299
     140       3.1412
     150       3.7251
     160       2.9771
     170       3.0521
     180       2.7736
     190       3.3538
     200       3.5090
     210       3.2269
     220       3.3430
     230       3.2993
     240       3.0182
     250       3.2520
     260       3.3757
     270       3.6256
     280       3.8045
     290       3.9983
     300       4.8631
     310       4.7368
     320       4.7489
     330       4.0623
     340       4.3500
     350       4.1479
     360       3.8324
     370       2.9537
     380       2.2228
     390       2.2764
     400       2.5973
     410       2.5229
     420       2.1229
     430       2.0651
     440       1.9460
     450       2.1825
     460       2.1177
     470       2.3474
     480       2.6966
     490       2.9746
     500       3.1824
     510       3.9343
     520       3.1035
     530       3.5215
     540       3.3435
     550       2.9047
     560       2.3716
     570       2.3076
     580       1.9976
     590       2.0763
     600       2.3534
     610       2.4986
     620       2.3934
     630       1.9626
     640       2.3448
     650       2.5593
     660       1.9689
     670       2.2628
     680       2.3590
     690       2.3176
     700       2.7010
     710       2.6055
     720       2.9707
     730       3.1720
     740       3.5846
     750       3.3656
     760       3.2729
     770       3.5232
     780       3.0345
     790       3.6696
     800       4.0646
     810       3.7584
     820       3.8622
     830       4.1657
     840       3.7459
     850       3.5064
     860       3.9432
     870       4.0269
     880       4.0586
     890       3.7249
     900       3.7744
     910       3.3546
     920       2.4384
     930       2.6167
     940       2.2931
     950       3.1020
     960       3.6774
     970       3.0020
     980       3.0039
     990       2.7413
    1000       3.3181
    1010       3.0921
    1020       3.5808
    1030       2.8865
    1040       2.4445
    1050       2.3259
    1060       2.7570
    1070       3.5059
    1080       3.3530
    1090       2.7621
    1100       2.7313
    1110       2.4665
    1120       2.2960
    1130       2.7858
    1140       2.4078
    1150       2.7850
    1160       2.7297
    1170       2.3840
    1180       2.0270
    1190       2.0208
    1200       2.1379
    1210       2.2311
    1220       2.0065
    1230       2.1412
    1240       2.4555
    1250       2.7326
    1260       2.8826
    1270       2.9746
    1280       2.6622
    1290       2.7020
    1300       2.9604
    1310       3.4498
    1320       3.5668
    1330       3.4316
    1340       3.3354
    1350       2.9745
    1360       2.8734
    1370       2.7410
    1380       2.4982
    1390       2.7301
    1400       2.6229
    1410       2.5842
    1420       2.8341
    1430       2.5585
    1440       2.7067
    1450       3.0696
    1460       2.8480
    1470       3.0942
    1480       3.0748
    1490       3.8760
    1500       3.7882
    1510       4.0018
    1520       4.1552
    1530       4.4920
    1540       4.1435
    1550       3.9799
    1560       3.7953
    1570       3.3420
    1580       3.3471
    1590       3.2152
    1600       3.0966
    1610       2.9467
    1620       2.9107
    1630       2.7449
    1640       2.9563
    1650       3.1540
    1660       3.0002
    1670       2.9940
    1680       2.8594
    1690       2.9490
    1700       2.9564
    1710       2.9463
    1720       2.8376
    1730       2.6983
    1740       2.6691
    1750       2.4835
    1760       2.6224
    1770       2.7566
    1780       3.0530
    1790       2.8780
    1800       3.3192
    1810       3.2848
    1820       3.8132
    1830       3.6027
    1840       4.0176
    1850       4.1695
    1860       4.4128
    1870       3.8788
    1880       3.4998
    1890       3.8093
    1900       4.3922
    1910       4.8097
    1920       4.8538
    1930       4.7824
    1940       4.8933
    1950       5.0127
    1960       4.6308
    1970       4.5463
    1980       4.4322
    1990       4.1734
    2000       4.3678
    2010       4.0644
    2020       3.7710
    2030       4.1545
    2040       4.3165
    2050       3.9360
    2060       3.8701
    2070       3.5464
    2080       3.1394
    2090       2.9426
    2100       3.2336
    2110       3.5404
    2120       3.6565
    2130       4.2889
    2140       3.9123
    2150       4.1141
    2160       3.7282
    2170       3.8268
    2180       3.6808
    2190       3.5358
    2200       3.3430
    2210       3.2811
    2220       3.4286
    2230       3.7996
    2240       3.6237
    2250       4.2541
    2260       3.7822
    2270       3.7186
    2280       3.8750
    2290       3.6444
    2300       4.1436
    2310       4.3867
    2320       4.5644
    2330       4.4414
    2340       4.1890
    2350       3.8237
    2360       3.7078
    2370       3.5676
    2380       3.8402
    2390       4.2372
    2400       3.6910
    2410       3.8235
    2420       3.7857
    2430       4.3041
    2440       4.2339
    2450       4.0131
    2460       4.0417
    2470       3.2035
    2480       2.6842
    2490       2.7264
    2500       3.1250
    2510       3.1217
    2520       2.6746
    2530       3.0663
    2540       3.3713
    2550       2.5223
    2560       2.4039
    2570       2.6135
    2580       2.4420
    2590       2.5638
    2600       2.0901
    2610       2.0694
    2620       2.5978
    2630       2.5839
    2640       2.9959
    2650       3.3457
    2660       3.6128
    2670       3.6044
    2680       3.1656
    2690       3.6170
    2700       3.3106
    2710       3.8124
    2720       3.6716
    2730       3.7084
    2740       3.8722
    2750       3.6651
    2760       3.2348
    2770       3.1432
    2780       2.9694
    2790       3.0372
    2800       2.7673
    2810       2.8543
    2820       2.5713
    2830       2.7852
    2840       2.6941
    2850       2.6822
    2860       3.2106
    2870       2.4181
    2880       2.9900
    2890       3.5580
    2900       3.1163
    2910       3.0136
    2920       2.9784
    2930       3.0605
    2940       3.0552
