#Frame            all
      10       0.0000
      20       1.4495
      30       1.5745
      40       1.8091
      50       1.9726
      60       2.3728
      70       2.2109
      80       2.0213
      90       2.2865
     100       2.1267
     110       2.3417
     120       2.8497
     130       2.8244
     140       3.4259
     150       4.0302
     160       3.2577
     170       3.3762
     180       3.0553
     190       3.7860
     200       3.9134
     210       3.6483
     220       3.7416
     230       3.6234
     240       3.2849
     250       3.5396
     260       3.7146
     270       4.0266
     280       4.2374
     290       4.4796
     300       5.2756
     310       5.1755
     320       5.1900
     330       4.4460
     340       4.7409
     350       4.5028
     360       4.0839
     370       3.1337
     380       2.3540
     390       2.4681
     400       2.8267
     410       2.7094
     420       2.2816
     430       2.2004
     440       2.0773
     450       2.3375
     460       2.2867
     470       2.5595
     480       2.8541
     490       3.1769
     500       3.3695
     510       4.2367
     520       3.3344
     530       3.8412
     540       3.6376
     550       3.0767
     560       2.6219
     570       2.5197
     580       2.2030
     590       2.2759
     600       2.6361
     610       2.7074
     620       2.5672
     630       2.1504
     640       2.5981
     650       2.8527
     660       2.1878
     670       2.5692
     680       2.5719
     690       2.5932
     700       3.1349
     710       2.9029
     720       3.2425
     730       3.5456
     740       3.9506
     750       3.7317
     760       3.6817
     770       3.9290
     780       3.2686
     790       4.0674
     800       4.6085
     810       4.1591
     820       4.2909
     830       4.6548
     840       4.1349
     850       3.8891
     860       4.3239
     870       4.3642
     880       4.4353
     890       4.0841
     900       4.1001
     910       3.6508
     920       2.7504
     930       2.9943
     940       2.5672
     950       3.4381
     960       4.1006
     970       3.2979
     980       3.2881
     990       3.0444
    1000       3.6477
    1010       3.4615
    1020       3.9755
    1030       3.1519
    1040       2.7187
    1050       2.4832
    1060       3.0520
    1070       3.8672
    1080       3.7552
    1090       3.1682
    1100       3.1361
    1110       2.8224
    1120       2.5622
    1130       3.1141
    1140       2.6779
    1150       3.0799
    1160       3.0549
    1170       2.6092
    1180       2.2070
    1190       2.2223
    1200       2.3407
    1210       2.5144
    1220       2.2763
    1230       2.3476
    1240       2.7334
    1250       2.9711
    1260       3.1195
    1270       3.2397
    1280       2.8230
    1290       2.8759
    1300       3.1970
    1310       3.8334
    1320       3.9722
    1330       3.8480
    1340       3.7358
    1350       3.3558
    1360       3.2121
    1370       2.9569
    1380       2.6523
    1390       2.8817
    1400       2.7111
    1410       2.7696
    1420       3.0583
    1430       2.7364
    1440       2.8555
    1450       3.3773
    1460       3.0358
    1470       3.2903
    1480       3.1142
    1490       3.8659
    1500       3.9346
    1510       4.0923
    1520       4.2693
    1530       4.5621
    1540       4.2502
    1550       4.0519
    1560       3.7539
    1570       3.2821
    1580       3.3457
    1590       3.2109
    1600       3.0054
    1610       2.9110
    1620       2.9201
    1630       2.6954
    1640       2.8160
    1650       3.0694
    1660       2.9343
    1670       2.9120
    1680       2.7200
    1690       2.9320
    1700       2.9072
    1710       2.8854
    1720       2.6117
    1730       2.4900
    1740       2.4656
    1750       2.2789
    1760       2.5134
    1770       2.7188
    1780       3.0507
    1790       2.8382
    1800       3.2692
    1810       3.2512
    1820       3.8007
    1830       3.6831
    1840       4.1200
    1850       4.2508
    1860       4.5357
    1870       3.9607
    1880       3.5640
    1890       3.7955
    1900       4.4924
    1910       4.9142
    1920       4.9772
    1930       4.9644
    1940       5.1253
    1950       5.1336
    1960       4.6020
    1970       4.6839
    1980       4.6781
    1990       4.4271
    2000       4.6570
    2010       4.2686
    2020       3.9995
    2030       4.3612
    2040       4.4832
    2050       4.1371
    2060       4.0761
    2070       3.6704
    2080       3.3217
    2090       3.1634
    2100       3.4176
    2110       3.7382
    2120       3.7769
    2130       4.4591
    2140       4.1594
    2150       4.3153
    2160       3.9481
    2170       4.0417
    2180       3.8096
    2190       3.7360
    2200       3.6067
    2210       3.5349
    2220       3.6704
    2230       4.0529
    2240       3.8843
    2250       4.5166
    2260       4.0732
    2270       3.9653
    2280       4.1999
    2290       3.9381
    2300       4.5262
    2310       4.7568
    2320       4.9046
    2330       4.7855
    2340       4.5350
    2350       4.0669
    2360       3.9953
    2370       3.8754
    2380       4.1789
    2390       4.5782
    2400       4.0056
    2410       4.0965
    2420       4.1278
    2430       4.6361
    2440       4.5372
    2450       4.3585
    2460       4.4119
    2470       3.5597
    2480       2.9506
    2490       3.0629
    2500       3.5128
    2510       3.4834
    2520       2.9429
    2530       3.4027
    2540       3.7090
    2550       2.7613
    2560       2.6444
    2570       2.8780
    2580       2.7631
    2590       2.7836
    2600       2.2903
    2610       2.3049
    2620       2.7943
    2630       2.7962
    2640       3.3133
    2650       3.6123
    2660       3.9658
    2670       3.8789
    2680       3.4695
    2690       3.9482
    2700       3.7045
    2710       4.2203
    2720       4.1523
    2730       4.0826
    2740       4.1518
    2750       3.9696
    2760       3.5611
    2770       3.4103
    2780       3.1748
    2790       3.3232
    2800       3.0878
    2810       3.1195
    2820       2.7852
    2830       2.9992
    2840       2.9584
    2850       2.9330
    2860       3.4493
    2870       2.6367
    2880       3.1749
    2890       3.8417
    2900       3.3163
    2910       3.3214
    2920       3.2519
    2930       3.2746
    2940       3.3264
    2950       3.7396
    2960       3.3664
    2970       3.5732
    2980       3.3279
    2990       3.3714
    3000       3.7244
    3010       3.5620
    3020       3.3300
    3030       3.5445
    3040       4.0418
    3050       4.3008
    3060       4.0806
    3070       4.3084
    3080       4.2255
    3090       4.6708
    3100       4.3149
    3110       4.3385
    3120       4.8070
    3130       4.6673
    3140       4.3157
    3150       3.9458
    3160       3.5462
    3170       3.5113
    3180       2.9340
    3190       2.5181
    3200       2.1468
    3210       2.3401
    3220       2.6151
    3230       2.9753
    3240       3.2563
    3250       3.5011
    3260       4.1371
    3270       3.7575
    3280       3.9655
    3290       3.3729
    3300       3.7869
    3310       3.2430
    3320       3.2238
    3330       3.1459
    3340       3.6086
    3350       3.7887
    3360       3.9211
    3370       3.8434
    3380       3.6315
    3390       3.4808
    3400       3.2337
    3410       3.3038
    3420       2.9288
    3430       2.8436
    3440       2.4423
    3450       2.5123
    3460       2.4178
    3470       2.2105
    3480       2.1082
    3490       1.9615
    3500       2.2669
    3510       2.1232
    3520       2.1732
    3530       2.2487
    3540       2.1128
    3550       2.0220
    3560       2.1159
    3570       2.4064
    3580       2.8526
    3590       2.7635
    3600       3.1075
    3610       3.4535
    3620       3.5635
    3630       3.7328
    3640       3.6312
    3650       3.7987
    3660       3.6515
    3670       3.8887
    3680       3.7437
    3690       2.9868
    3700       3.3349
    3710       3.5409
    3720       4.1052
    3730       3.6731
    3740       3.4971
    3750       3.2277
    3760       3.1950
    3770       3.1902
    3780       3.0047
    3790       2.6590
    3800       2.0510
    3810       2.5440
    3820       2.5678
    3830       2.0572
    3840       2.5310
    3850       2.3615
    3860       2.1416
    3870       2.3420
    3880       2.4981
    3890       2.6063
    3900       2.3685
    3910       2.1769
    3920       2.1200
    3930       1.9525
    3940       2.0424
    3950       2.7674
    3960       2.5421
    3970       2.7666
    3980       2.5947
    3990       2.5537
    4000       2.8969
    4010       2.9855
    4020       2.4391
    4030       2.7967
    4040       3.0443
    4050       3.1853
    4060       3.1010
    4070       3.6702
    4080       3.9693
    4090       3.6606
    4100       4.2243
    4110       4.2079
    4120       4.6266
    4130       4.6119
    4140       4.4381
    4150       4.4004
    4160       4.1434
    4170       3.3927
    4180       3.4286
    4190       3.2031
    4200       3.1407
    4210       2.7609
    4220       2.5043
    4230       2.7116
    4240       2.6664
    4250       2.4636
    4260       3.0470
    4270       2.8751
    4280       2.7585
    4290       2.3722
    4300       2.6280
    4310       3.7730
    4320       3.7064
    4330       3.7212
    4340       3.4809
    4350       3.8146
    4360       3.9286
    4370       4.2743
    4380       5.1223
    4390       5.3578
    4400       4.9823
    4410       4.9410
    4420       4.9298
    4430       4.8199
    4440       4.9392
    4450       4.6690
