#Frame            all
      10       0.0000
      20       1.0748
      30       1.4024
      40       1.4008
      50       1.6838
      60       1.8801
      70       1.7091
      80       1.6914
      90       1.8224
     100       1.6385
     110       2.0566
     120       2.3846
     130       2.3789
     140       2.7540
     150       3.3207
     160       2.5905
     170       2.5942
     180       2.3762
     190       2.7073
     200       2.9343
     210       2.6034
     220       2.7412
     230       2.8325
     240       2.6448
     250       2.8390
     260       2.8668
     270       3.0193
     280       3.1383
     290       3.2719
     300       4.2369
     310       4.0865
     320       4.0820
     330       3.5148
     340       3.8154
     350       3.6644
     360       3.4934
     370       2.7177
     380       2.0449
     390       1.9980
     400       2.2812
     410       2.2524
     420       1.8957
     430       1.8741
     440       1.7666
     450       1.9621
     460       1.8790
     470       2.0428
     480       2.4407
     490       2.6447
     500       2.8896
     510       3.4834
     520       2.7542
     530       3.0327
     540       2.9109
     550       2.6431
     560       2.0156
     570       2.0078
     580       1.6945
     590       1.7838
     600       1.9402
     610       2.1938
     620       2.1581
     630       1.6936
     640       1.9878
     650       2.1273
     660       1.6642
     670       1.8100
     680       2.0483
     690       1.9232
     700       2.0251
     710       2.1751
     720       2.5816
     730       2.6318
     740       3.0611
     750       2.8281
     760       2.6677
     770       2.9403
     780       2.7192
     790       3.1068
     800       3.2621
     810       3.1952
     820       3.2602
     830       3.4587
     840       3.1973
     850       2.9478
     860       3.4076
     870       3.5530
     880       3.5392
     890       3.2140
     900       3.3188
     910       2.9294
     920       1.9819
     930       2.0497
     940       1.8914
     950       2.6194
     960       3.0633
     970       2.5911
     980       2.6066
     990       2.3167
    1000       2.8589
    1010       2.5680
    1020       3.0211
    1030       2.5204
    1040       2.0569
    1050       2.1198
    1060       2.3417
    1070       2.9806
    1080       2.7784
    1090       2.1361
    1100       2.1178
    1110       1.9263
    1120       1.8930
    1130       2.2991
    1140       2.0087
    1150       2.3483
    1160       2.2460
    1170       2.0542
    1180       1.7614
    1190       1.7434
    1200       1.8638
    1210       1.8212
    1220       1.6193
    1230       1.8455
    1240       2.0490
    1250       2.3843
    1260       2.5246
    1270       2.5705
    1280       2.4162
    1290       2.4426
    1300       2.6055
    1310       2.8600
    1320       2.9617
    1330       2.8292
    1340       2.7369
    1350       2.3884
    1360       2.3668
    1370       2.4120
    1380       2.2721
    1390       2.5202
    1400       2.5013
    1410       2.3293
    1420       2.5201
    1430       2.3105
    1440       2.4882
    1450       2.6225
    1460       2.5599
    1470       2.8102
    1480       3.0071
    1490       3.8481
    1500       3.5791
    1510       3.8433
    1520       3.9973
    1530       4.3740
    1540       3.9788
    1550       3.8960
    1560       3.8334
    1570       3.4083
    1580       3.3480
    1590       3.2141
    1600       3.1908
    1610       2.9858
    1620       2.8796
    1630       2.7933
    1640       3.1084
    1650       3.2377
    1660       3.0653
    1670       3.0877
    1680       3.0197
    1690       2.9605
    1700       3.0040
    1710       3.0008
    1720       3.0922
    1730       2.9299
    1740       2.8951
    1750       2.7056
    1760       2.7389
    1770       2.8034
    1780       3.0340
    1790       2.8909
    1800       3.3476
    1810       3.2686
    1820       3.7521
    1830       3.4538
    1840       3.8205
    1850       3.9866
    1860       4.1744
    1870       3.6897
    1880       3.3429
    1890       3.7543
    1900       4.1844
    1910       4.6096
    1920       4.6341
    1930       4.4896
    1940       4.5119
    1950       4.7661
    1960       4.5658
    1970       4.2995
    1980       4.0382
    1990       3.7861
    2000       3.9336
    2010       3.7311
    2020       3.4129
    2030       3.8012
    2040       4.0143
    2050       3.6141
    2060       3.5426
    2070       3.3232
    2080       2.8836
    2090       2.6377
    2100       2.9826
    2110       3.2320
    2120       3.4491
    2130       4.0250
    2140       3.5464
    2150       3.8382
    2160       3.4073
    2170       3.4949
    2180       3.4721
    2190       3.2265
    2200       2.9499
    2210       2.9062
    2220       3.0674
    2230       3.4232
    2240       3.2416
    2250       3.8398
    2260       3.3353
    2270       3.3503
    2280       3.3747
    2290       3.1721
    2300       3.5614
    2310       3.8107
    2320       4.0343
    2330       3.9463
    2340       3.6809
    2350       3.4659
    2360       3.2869
    2370       3.1150
    2380       3.3298
    2390       3.7045
    2400       3.2140
    2410       3.4273
    2420       3.2745
    2430       3.8107
    2440       3.7768
    2450       3.4826
    2460       3.4824
    2470       2.6901
    2480       2.2944
    2490       2.2269
    2500       2.5610
    2510       2.6130
    2520       2.2979
    2530       2.5744
    2540       2.8895
    2550       2.1937
    2560       2.0453
    2570       2.2250
    2580       1.9585
    2590       2.2389
    2600       1.7796
    2610       1.7148
    2620       2.3109
    2630       2.2699
    2640       2.5032
    2650       2.9495
    2660       3.1092
    2670       3.2150
    2680       2.7310
    2690       3.1441
    2700       2.7334
    2710       3.1852
    2720       2.8826
    2730       3.1427
    2740       3.4369
    2750       3.2225
    2760       2.7593
    2770       2.7533
    2780       2.6669
    2790       2.6201
    2800       2.2863
    2810       2.4899
    2820       2.2654
    2830       2.4890
    2840       2.3263
    2850       2.3240
    2860       2.8808
    2870       2.1046
    2880       2.7275
    2890       3.1485
    2900       2.8217
    2910       2.5694
    2920       2.5898
    2930       2.7491
    2940       2.6763
    2950       2.9978
    2960       2.7209
    2970       2.6912
    2980       2.4289
    2990       2.4182
    3000       2.7614
    3010       2.7129
    3020       2.4135
    3030       2.5920
    3040       3.0108
    3050       3.2257
    3060       3.0174
    3070       3.0810
    3080       3.1134
    3090       3.6090
    3100       3.0385
    3110       3.1182
    3120       3.5334
    3130       3.3800
    3140       3.1131
    3150       2.8271
    3160       2.5781
    3170       2.2569
    3180       1.9225
    3190       1.8720
    3200       1.5219
    3210       1.8478
    3220       1.9684
    3230       2.2466
    3240       2.3473
    3250       2.4992
    3260       2.8739
    3270       2.7276
    3280       2.9095
    3290       2.3480
    3300       2.6896
    3310       2.3620
    3320       2.4668
    3330       2.4972
    3340       2.7900
    3350       2.8771
    3360       2.8653
    3370       2.8907
    3380       2.8916
    3390       2.8519
    3400       2.4478
    3410       2.5216
    3420       2.2819
    3430       2.2309
    3440       1.9626
    3450       1.9438
    3460       1.9681
    3470       1.9055
    3480       1.8374
    3490       1.5361
    3500       1.8063
    3510       1.9021
    3520       2.0039
    3530       2.1075
    3540       1.8995
    3550       1.7346
    3560       1.6634
    3570       1.7696
    3580       2.0782
    3590       2.1385
    3600       2.4947
    3610       2.7785
    3620       2.9032
    3630       3.0965
    3640       2.9427
    3650       3.0750
    3660       2.7698
    3670       2.9898
    3680       2.8837
    3690       2.3533
    3700       2.4549
    3710       2.8365
    3720       3.2880
    3730       2.9516
    3740       2.7488
    3750       2.5265
    3760       2.4779
    3770       2.3304
    3780       2.3291
    3790       2.0379
    3800       1.6550
    3810       1.9879
    3820       1.9934
    3830       1.7310
    3840       1.9926
    3850       1.9973
    3860       1.7380
    3870       1.6895
    3880       1.8118
    3890       1.9587
    3900       1.8731
    3910       1.7969
    3920       1.5594
    3930       1.3749
    3940       1.6555
    3950       1.9921
    3960       1.8562
    3970       2.0647
    3980       2.0686
    3990       2.1373
    4000       2.5704
    4010       2.5038
    4020       2.1498
    4030       2.0622
    4040       2.1519
    4050       2.2212
    4060       2.2585
    4070       2.6781
    4080       2.8387
    4090       2.6198
    4100       2.8836
    4110       3.0348
    4120       3.1758
    4130       3.4165
    4140       3.2821
    4150       3.3959
    4160       3.1673
    4170       2.4851
    4180       2.3867
    4190       2.2941
    4200       2.2648
    4210       2.0678
    4220       1.9106
    4230       2.1356
    4240       1.9178
