#Frame      Dih_00126 Dih_00127 Dih_00128 Dih_00129 Dih_00130
       1     -21.8793 41.1893 -42.1495 30.8365 -6.2037
       2     -16.2202 30.9319 -30.4252 21.1779 -3.8948
       3     -31.1337 37.8394 -31.2865 14.2635 10.0289
       4     -14.3685 34.9764 -39.2959 35.4905 -13.4414
       5     -22.1046 39.0205 -39.3549 26.7762 -2.9863
       6     -29.3541 42.4466 -40.7280 23.7742 3.8871
       7     -12.6838 29.0471 -35.8791 31.4467 -12.6831
       8     -18.8306 37.4829 -40.8933 30.5480 -7.5696
       9     -20.2661 39.6258 -42.7621 32.8568 -8.8083
      10     -10.7432 33.1881 -38.5356 35.7747 -15.6200
      11     -23.0450 39.0207 -38.9180 26.6697 -3.4177
      12     -22.7216 40.5536 -43.0862 33.2137 -6.7589
      13     -18.4392 32.9742 -33.1928 24.5880 -4.5763
      14     -22.6440 41.5181 -45.8092 34.4073 -8.2289
      15     -11.1642 28.9780 -32.2996 28.8664 -11.0001
      16     -33.4980 44.9993 -35.2257 18.3266 9.4179
      17     -44.7880 49.1450 -33.5958 10.6752 21.2096
      18     -35.1339 43.7286 -35.6854 16.1868 12.0166
      19     -22.3687 40.4474 -40.8373 27.9072 -4.2711
      20     -29.6115 39.7707 -34.2069 16.6545 8.8980
      21     -41.4773 47.3238 -34.1014 10.0843 20.4557
      22     -26.0423 40.7031 -38.4375 27.2294 -0.9524
      23     -16.1826 35.8728 -38.7721 32.2289 -9.7886
      24     -18.6939 33.7290 -35.8153 27.1496 -6.0651
      25     -23.5312 38.7499 -37.1677 23.5328 -0.9196
      26     -40.4816 48.3485 -35.7281 14.2872 15.6382
      27     -17.7069 24.3148 -20.6239 12.2427 2.8125
      28     -27.9179 43.1676 -39.6476 24.6182 1.9767
      29     -18.6370 30.3934 -29.1737 20.8989 -1.9217
      30     -17.1696 36.4213 -38.2651 29.9024 -8.1244
      31      -0.4098 28.1051 -41.9931 39.9976 -25.0965
      32     -20.9002 37.0322 -35.9956 26.0589 -4.3170
      33     -10.0926 31.4870 -36.6584 32.8874 -14.0606
      34       5.0897 16.4332 -29.9834 32.9848 -25.0104
      35      -7.3507 28.9002 -36.0264 34.1307 -17.6907
      36     -31.5853 42.3565 -38.8289 23.7199 4.9061
      37     -17.8603 35.6827 -41.4374 31.9376 -8.5312
      38     -25.3218 36.5506 -31.6904 17.9438 4.6823
      39     -23.2150 31.7759 -25.1718 12.6849 6.1030
      40      -8.7546 27.7957 -33.6870 29.8983 -13.6088
      41     -12.9858 30.8587 -33.3549 27.4660 -9.5244
      42      17.1045 8.6969 -27.2665 37.7755 -36.2226
      43     -21.6424 36.8370 -35.9707 26.5481 -3.8457
      44     -26.8100 41.0049 -37.4804 21.2335 4.1618
      45      -9.9703 17.3949 -17.6345 11.8920 -1.4369
      46     -38.8271 44.3211 -32.6497 10.0188 18.1912
      47     -36.4312 35.8044 -21.3426 0.5711 22.1304
      48     -19.8100 29.8403 -29.1646 17.3923 1.3411
      49     -19.8046 26.2933 -20.4729 11.8629 4.9456
      50     -20.4428 34.4643 -36.3529 28.4349 -5.1880
      51     -13.0711 28.7246 -31.5636 25.4060 -7.5825
      52      11.5279 11.3082 -29.0631 37.8076 -29.7351
      53       4.7288 16.6695 -29.3072 35.5236 -25.8946
      54     -24.0044 38.2250 -38.3458 25.7683 -1.6225
      55     -12.9578 28.9423 -31.9673 25.0153 -8.3143
      56      -9.6137 25.8918 -28.8649 25.0264 -10.1108
      57      -9.0652 33.0171 -39.3954 36.9855 -18.8858
      58      -9.4999 24.6646 -26.8088 23.2585 -9.6493
      59     -19.2805 34.6169 -35.2758 25.0951 -4.2874
      60     -32.2555 47.8041 -40.0265 21.5537 7.2328
      61     -22.1528 35.5184 -31.7935 18.8247 1.6208
      62     -21.8401 31.1886 -27.6772 17.7621 2.1149
      63     -26.2863 28.1729 -19.8937 4.6371 13.9620
      64      -4.7818 22.9027 -30.8560 29.1052 -16.2232
      65     -15.8318 25.9513 -23.8991 13.9581 1.0883
      66     -22.8323 24.6953 -17.4121 5.6981 10.4781
