#Frame            all
      10       0.0000
      20       1.0761
      30       1.3080
      40       1.2738
      50       1.5115
      60       1.9134
      70       2.6672
      80       2.5949
      90       3.2036
     100       3.2212
     110       3.5663
     120       4.0281
     130       4.2928
     140       3.5078
     150       4.1011
     160       4.2897
     170       4.4586
     180       4.5089
     190       4.4601
     200       4.7099
     210       4.4423
     220       4.4961
     230       4.7335
     240       4.5962
     250       4.9387
     260       5.3229
     270       5.0091
     280       4.9522
     290       5.1183
     300       4.8845
     310       4.8404
     320       4.9656
     330       5.1354
     340       4.8563
     350       4.9804
     360       4.6814
     370       4.4878
     380       4.9721
     390       4.9291
     400       4.7097
     410       4.9150
     420       4.7268
     430       4.8982
     440       5.2682
     450       5.4421
     460       6.0258
     470       5.8511
     480       5.8092
     490       5.8308
     500       5.7353
     510       5.6760
     520       5.9448
     530       5.6896
     540       5.3614
     550       5.8621
     560       6.0217
     570       5.6776
     580       5.6306
     590       5.9452
     600       6.5331
     610       6.3461
     620       6.0570
     630       6.0358
     640       6.3250
     650       6.2736
     660       5.9907
     670       5.8259
     680       5.4265
     690       6.3983
     700       6.5911
     710       5.9149
     720       5.4372
     730       5.6894
     740       5.8669
     750       5.9710
     760       6.3539
     770       6.3815
     780       6.1644
     790       6.0926
     800       5.9242
     810       6.1559
     820       5.7640
     830       5.8846
     840       6.1044
     850       6.1148
     860       5.7657
     870       5.3588
     880       5.4574
     890       6.2270
     900       6.6113
     910       6.8095
     920       6.4983
     930       6.4677
     940       5.7105
     950       6.3464
     960       6.5288
     970       6.3023
     980       6.4627
     990       6.5215
    1000       6.3299
    1010       6.2042
    1020       6.2609
    1030       6.1670
    1040       6.0415
    1050       6.2921
    1060       6.4813
    1070       6.6114
    1080       6.4874
    1090       6.2782
    1100       6.6333
    1110       7.2510
    1120       7.5595
    1130       7.0034
    1140       7.4257
    1150       6.7804
    1160       6.5225
    1170       6.2489
    1180       5.9160
    1190       6.2774
    1200       6.3631
    1210       5.7720
    1220       5.8180
    1230       5.6294
    1240       5.6657
    1250       5.9186
    1260       5.4975
    1270       5.0992
    1280       5.7758
    1290       6.2099
    1300       6.1040
    1310       6.1815
    1320       6.8006
    1330       6.2336
    1340       5.9599
    1350       6.4524
    1360       6.2858
    1370       6.1722
    1380       6.1553
    1390       6.2744
    1400       6.4106
    1410       6.5104
    1420       5.7833
    1430       5.8406
    1440       5.8772
    1450       5.7668
    1460       5.9747
    1470       6.1225
    1480       6.3404
    1490       5.9529
    1500       6.3793
    1510       6.2239
    1520       5.9936
    1530       6.1083
