#Frame            all
      10       0.0000
      20       1.3464
      30       1.7149
      40       1.6318
      50       1.6805
      60       2.1035
      70       2.3704
      80       2.7304
      90       2.7175
     100       2.8433
     110       2.6072
     120       2.0956
     130       1.8219
     140       1.7079
     150       2.1696
     160       1.8750
     170       1.9168
     180       2.1471
     190       2.8705
     200       2.6067
     210       2.2580
     220       2.3731
     230       2.4691
     240       2.6177
     250       2.7308
     260       3.1222
     270       2.7253
     280       2.9270
     290       2.8853
     300       2.2343
     310       2.3182
     320       2.3068
     330       2.3339
     340       2.3271
     350       2.8630
     360       2.7064
     370       2.3750
     380       2.3437
     390       2.4452
     400       2.8079
     410       2.7031
     420       2.7997
     430       2.7344
     440       2.5577
     450       2.3493
     460       2.5102
     470       2.5859
     480       2.6109
     490       2.3155
     500       2.4611
     510       2.5013
     520       2.2232
     530       2.0137
     540       2.1516
     550       2.0147
     560       2.3920
     570       2.4914
     580       2.6060
     590       2.2306
     600       2.2980
     610       1.9797
     620       2.2063
     630       2.2593
     640       2.1970
     650       2.1998
     660       2.0372
     670       2.0254
     680       1.7761
     690       1.6320
     700       1.8758
     710       1.9826
     720       2.0811
     730       2.3300
     740       2.8321
     750       2.6488
     760       2.5845
     770       2.3526
     780       2.2722
     790       2.6142
     800       2.3578
     810       2.0154
     820       1.8365
     830       2.2173
     840       1.8256
     850       1.9468
     860       2.2781
     870       2.4542
     880       2.8312
     890       2.6150
     900       2.6437
     910       2.4097
     920       2.0122
     930       1.9494
     940       2.0478
     950       2.0391
     960       1.7823
     970       1.7495
     980       2.1380
     990       2.0908
    1000       2.1122
    1010       2.6503
    1020       3.0325
    1030       3.3210
    1040       2.9153
    1050       2.7701
    1060       2.2659
    1070       2.3497
    1080       2.9625
    1090       3.2774
    1100       3.0716
    1110       2.7957
    1120       2.6517
    1130       2.3082
    1140       2.7749
    1150       3.2149
    1160       2.9161
    1170       3.4217
    1180       3.2764
    1190       3.3150
    1200       2.6259
    1210       3.0999
    1220       2.9603
    1230       3.1396
    1240       2.7605
    1250       2.2396
    1260       2.2478
    1270       2.3746
    1280       2.2816
    1290       2.3773
    1300       2.2414
    1310       2.4249
    1320       1.9218
    1330       1.9806
    1340       2.6737
    1350       2.3608
    1360       2.0419
    1370       2.1391
    1380       1.7495
    1390       1.6614
    1400       1.5613
    1410       1.9074
    1420       2.2601
    1430       2.4180
    1440       2.3901
    1450       2.1808
    1460       2.2686
    1470       2.2235
    1480       2.3353
    1490       2.2975
    1500       2.2245
    1510       2.3428
    1520       2.8172
    1530       2.2358
    1540       2.1665
    1550       2.0606
    1560       1.8897
    1570       1.9302
    1580       1.9033
    1590       1.8569
    1600       1.8703
    1610       1.7850
    1620       1.9196
    1630       1.9916
    1640       1.6719
    1650       1.6087
    1660       1.6709
    1670       1.9867
    1680       2.0124
    1690       1.7639
    1700       2.0961
    1710       1.7538
    1720       1.7078
    1730       1.7982
    1740       1.8089
    1750       1.9497
    1760       2.5005
    1770       2.2219
    1780       1.8461
    1790       2.0098
    1800       2.0941
    1810       2.2360
    1820       2.1271
    1830       2.0861
    1840       2.1785
    1850       2.6374
    1860       2.1472
    1870       1.6427
    1880       1.6344
    1890       1.8229
    1900       1.9178
    1910       1.8072
    1920       2.2986
    1930       1.7600
    1940       1.7374
    1950       2.2295
    1960       1.9926
    1970       2.3950
    1980       2.5916
    1990       2.2883
    2000       2.7419
    2010       2.8287
    2020       2.4270
    2030       2.8092
    2040       2.4522
    2050       2.7276
    2060       2.0407
    2070       2.5205
    2080       2.4268
    2090       2.5630
    2100       2.4406
    2110       2.3334
    2120       2.4261
    2130       1.9810
    2140       1.9477
    2150       2.2919
    2160       1.8904
    2170       2.2646
    2180       2.1939
    2190       2.3540
    2200       2.2438
    2210       2.4735
    2220       2.6183
    2230       2.6382
    2240       2.6802
    2250       2.4841
    2260       2.8787
    2270       2.8600
    2280       2.5434
    2290       2.8195
    2300       2.7459
    2310       2.5025
    2320       2.8342
    2330       2.9281
    2340       3.2637
    2350       3.2081
    2360       3.2695
    2370       3.0340
    2380       2.5289
    2390       2.8693
    2400       3.2688
    2410       2.8625
    2420       2.8180
    2430       2.6781
    2440       2.1537
    2450       1.9197
    2460       1.9478
    2470       2.3739
    2480       2.4698
    2490       2.2799
    2500       2.7089
    2510       2.4915
    2520       2.7609
    2530       3.0816
    2540       2.9124
    2550       2.5456
    2560       2.2670
    2570       2.4522
    2580       2.2835
    2590       1.9171
    2600       2.0514
    2610       2.3134
    2620       2.4033
    2630       1.9706
    2640       2.0684
    2650       1.9305
    2660       2.0463
    2670       2.0209
    2680       2.0121
    2690       2.1656
    2700       2.3389
    2710       2.2684
    2720       2.6846
    2730       2.9543
    2740       2.9968
    2750       3.5003
    2760       3.0901
    2770       3.4360
    2780       3.7280
    2790       3.8349
    2800       3.9461
    2810       3.6521
    2820       3.3376
    2830       3.8130
    2840       4.1924
    2850       3.4082
    2860       3.2643
    2870       2.9632
    2880       2.7186
    2890       2.5846
    2900       2.7972
    2910       2.3082
    2920       2.5568
    2930       2.6096
    2940       2.8670
    2950       2.9479
    2960       3.4238
    2970       3.6211
    2980       3.2753
    2990       2.9821
    3000       3.4163
    3010       3.5585
    3020       3.6300
    3030       3.1741
    3040       2.4677
    3050       2.2200
    3060       1.9748
    3070       2.1381
    3080       2.0322
    3090       1.9854
    3100       2.0587
    3110       2.3631
    3120       2.0657
    3130       1.7670
    3140       1.7695
    3150       1.7005
    3160       1.5974
    3170       1.6071
    3180       1.7199
    3190       1.6275
    3200       1.6630
    3210       1.7929
    3220       2.0698
    3230       1.8533
    3240       1.7291
    3250       2.1849
    3260       1.8503
    3270       1.9063
    3280       2.6039
