#Frame            all
      10       0.0000
      20       1.0831
      30       1.1753
      40       1.5423
      50       1.2204
      60       1.4457
      70       1.4502
      80       1.6222
      90       1.5360
     100       1.7332
     110       1.7322
     120       2.4498
     130       2.4715
     140       2.3092
     150       2.3848
     160       2.2781
     170       2.3638
     180       2.2221
     190       2.1555
     200       1.8069
     210       1.9532
     220       1.3565
     230       1.5541
     240       2.0180
     250       2.1528
     260       1.9379
     270       1.7350
     280       2.0044
     290       2.1835
     300       1.7899
     310       2.4564
     320       2.3002
     330       2.0976
     340       1.9433
     350       2.6147
     360       2.6258
     370       2.8276
     380       2.5914
     390       2.2933
     400       2.2983
     410       2.0317
     420       2.0089
     430       1.6370
     440       1.9541
     450       2.1988
     460       2.2219
     470       2.3059
     480       2.4216
     490       2.1070
     500       2.3663
     510       2.2556
     520       2.0203
     530       2.0776
     540       1.9240
     550       1.7899
     560       2.2898
     570       2.1940
     580       2.3010
     590       2.2474
     600       1.6238
     610       1.1961
     620       1.5605
     630       1.7060
     640       1.6718
     650       1.6011
     660       1.5955
     670       1.7358
     680       1.7619
     690       1.7885
     700       1.6946
     710       2.0420
     720       2.1776
     730       2.1649
     740       1.9742
     750       2.1108
     760       2.0063
     770       2.1541
     780       1.9168
     790       2.1570
     800       2.4791
     810       2.4126
     820       2.3477
     830       2.8572
     840       3.2573
     850       2.8270
     860       2.6643
     870       2.3882
     880       2.0771
     890       2.4138
     900       2.6220
     910       2.8301
     920       2.9697
     930       3.1376
     940       3.4587
     950       3.5603
     960       3.2229
     970       2.9266
     980       2.7784
     990       2.7842
    1000       2.4843
    1010       1.9037
    1020       2.2618
    1030       2.4223
    1040       1.8849
    1050       2.3705
    1060       2.3321
    1070       2.4213
    1080       2.0789
    1090       1.6698
    1100       1.7669
    1110       2.4357
    1120       2.2430
    1130       2.4674
    1140       2.2877
    1150       2.1178
    1160       2.6205
    1170       2.8204
    1180       3.3564
    1190       3.5367
    1200       3.0668
    1210       2.2194
    1220       2.8790
    1230       3.0012
    1240       2.6378
    1250       2.6255
    1260       2.5445
    1270       2.5314
    1280       2.7307
    1290       2.6542
    1300       2.6935
    1310       2.5870
    1320       2.9174
    1330       2.7353
    1340       2.5887
    1350       2.7856
    1360       2.4111
    1370       2.0849
    1380       2.1427
    1390       2.2731
    1400       2.5176
    1410       2.6721
    1420       2.6399
    1430       2.7326
    1440       2.3767
    1450       2.0126
    1460       1.9495
    1470       1.5905
    1480       1.8231
    1490       2.1220
    1500       1.8925
    1510       1.4500
    1520       1.7395
    1530       1.6405
    1540       1.4516
    1550       1.6101
    1560       1.9453
    1570       1.7512
    1580       1.6095
    1590       2.0994
    1600       1.8525
    1610       1.7373
    1620       1.5555
    1630       1.5595
    1640       1.9968
    1650       2.3607
    1660       2.1064
    1670       1.9288
    1680       2.1007
    1690       2.4900
    1700       2.4117
    1710       1.9616
    1720       2.4248
    1730       2.7735
    1740       2.3184
    1750       2.8327
    1760       2.8214
    1770       3.0734
    1780       2.9356
    1790       2.6291
    1800       2.2310
    1810       2.0547
    1820       2.2619
    1830       2.0781
    1840       2.7233
    1850       2.9170
    1860       3.1018
    1870       3.0342
    1880       2.9701
    1890       2.9724
    1900       2.8002
    1910       2.5771
    1920       3.1037
    1930       3.0186
    1940       2.7686
    1950       2.9592
    1960       3.0371
    1970       3.1174
    1980       2.7947
    1990       2.6870
    2000       3.0809
    2010       2.4181
    2020       1.7412
    2030       1.7087
    2040       1.7497
    2050       1.8187
    2060       1.8496
    2070       1.6731
    2080       1.5244
    2090       1.9119
    2100       1.8087
    2110       2.0286
    2120       1.9911
    2130       1.7667
    2140       1.7950
    2150       1.8580
    2160       1.5548
    2170       1.5159
    2180       1.4361
    2190       1.3501
    2200       1.3884
    2210       1.7098
    2220       1.9057
    2230       1.7756
    2240       1.5999
    2250       1.3834
    2260       1.5946
    2270       1.7936
    2280       1.9585
    2290       1.7091
    2300       2.3751
    2310       2.2653
    2320       2.2392
    2330       1.8518
    2340       1.8206
    2350       2.2255
    2360       2.4748
    2370       2.8391
    2380       2.4514
    2390       1.8578
    2400       1.5944
    2410       1.3313
    2420       1.5533
    2430       1.6291
    2440       1.2800
    2450       1.3109
    2460       1.3316
    2470       1.4325
    2480       1.6645
    2490       1.6253
    2500       2.2999
    2510       2.4008
    2520       2.5812
    2530       2.2014
    2540       1.9439
    2550       2.3091
    2560       1.7842
    2570       1.9426
    2580       2.1662
    2590       2.0565
    2600       2.2412
    2610       2.6823
    2620       3.1064
    2630       2.6702
    2640       2.6240
    2650       2.3494
    2660       1.8222
    2670       1.3898
    2680       1.6162
    2690       1.4318
    2700       1.6391
    2710       1.2840
    2720       1.1936
    2730       1.4542
    2740       1.3849
    2750       1.6211
    2760       1.2542
    2770       1.4444
    2780       1.9101
    2790       1.4667
    2800       1.5680
    2810       1.6384
    2820       1.7078
    2830       1.7481
    2840       1.8157
    2850       1.9889
    2860       1.9585
    2870       2.4954
    2880       2.7837
    2890       2.4766
    2900       2.9793
    2910       3.1720
    2920       3.4586
    2930       2.9657
    2940       3.0751
    2950       2.4263
    2960       2.6215
    2970       2.2767
    2980       2.8406
    2990       2.7121
    3000       2.4581
    3010       2.3221
    3020       2.4250
    3030       1.9645
    3040       1.7964
    3050       1.9562
    3060       2.3545
    3070       2.6831
    3080       2.7408
    3090       2.0814
    3100       2.5044
    3110       3.0884
    3120       3.1422
    3130       2.9672
    3140       2.6861
    3150       3.0599
    3160       2.7091
    3170       2.4240
    3180       2.4657
    3190       2.6793
    3200       2.8134
    3210       3.6339
    3220       2.9534
    3230       2.3295
    3240       2.1360
    3250       2.2529
    3260       2.0350
    3270       1.9026
    3280       2.3160
    3290       2.0957
    3300       1.9064
    3310       1.8270
    3320       1.9180
    3330       1.8081
    3340       1.8139
    3350       1.7844
    3360       2.0958
    3370       2.0553
    3380       2.0406
    3390       2.1587
    3400       2.0958
    3410       2.2435
    3420       2.6752
    3430       2.8155
    3440       2.9570
    3450       2.9710
    3460       3.0523
    3470       2.6441
    3480       2.8731
    3490       2.7978
    3500       2.9179
    3510       2.7322
    3520       2.6696
    3530       2.5562
    3540       2.3119
    3550       2.4493
    3560       2.3038
    3570       2.3191
    3580       2.1715
    3590       2.1992
    3600       2.4408
    3610       2.1448
    3620       2.2394
    3630       2.5728
    3640       2.3278
    3650       2.8919
    3660       2.4746
    3670       2.5953
    3680       3.0688
    3690       3.0807
    3700       3.3091
    3710       2.8538
    3720       2.6831
    3730       2.2674
    3740       2.1833
    3750       2.2987
    3760       1.9996
    3770       2.0927
    3780       2.2189
    3790       2.4273
    3800       2.5462
    3810       2.4888
    3820       2.4395
    3830       2.3205
    3840       2.7176
    3850       2.7591
    3860       2.7760
    3870       2.5676
    3880       2.8656
    3890       2.7058
    3900       2.7834
    3910       3.0082
    3920       2.7448
    3930       3.2382
    3940       3.3099
    3950       3.4616
    3960       3.5840
    3970       3.5349
    3980       3.5434
    3990       3.3295
    4000       3.5612
    4010       3.3224
    4020       3.3578
    4030       3.6722
    4040       3.6226
    4050       3.3188
    4060       3.4427
    4070       3.2967
    4080       3.3813
    4090       3.0788
    4100       3.0001
    4110       3.0400
    4120       2.5713
    4130       2.8116
    4140       2.4932
    4150       2.1948
    4160       2.3419
    4170       2.0793
    4180       1.7436
    4190       2.0616
    4200       2.1511
    4210       2.1424
    4220       2.3197
    4230       2.5016
    4240       2.9922
    4250       2.7148
