#Frame            all
      10       0.0000
      20       1.4041
      30       1.5485
      40       1.4552
      50       1.8620
      60       2.0328
      70       1.8695
      80       2.3617
      90       2.4359
     100       2.5936
     110       2.0276
     120       2.3290
     130       3.3817
     140       3.2459
     150       3.1166
     160       3.1043
     170       3.0011
     180       3.4335
     190       3.7024
     200       3.9824
     210       4.1518
     220       4.3585
     230       4.6764
     240       4.9704
     250       4.9505
     260       4.8756
     270       5.2845
     280       5.7375
     290       5.6686
     300       5.7873
     310       5.6614
     320       6.0025
     330       5.8847
     340       5.8244
     350       6.1216
     360       6.6019
     370       6.3836
     380       6.2519
     390       6.3547
     400       5.9048
     410       5.8943
     420       5.9780
     430       5.8847
     440       5.9309
     450       5.8201
     460       5.7694
     470       5.6274
     480       5.8989
     490       5.9838
     500       5.8384
     510       5.8546
     520       5.5924
     530       5.2730
     540       5.9678
     550       6.3855
     560       6.5769
     570       6.5018
     580       5.7558
     590       5.4160
     600       5.5785
     610       5.3585
     620       5.6417
     630       5.7607
     640       5.5373
     650       5.5886
     660       5.2787
     670       5.5068
     680       5.2125
     690       5.4877
     700       5.4652
     710       4.8463
     720       5.1621
     730       5.6170
     740       5.5024
     750       5.4954
     760       5.7509
     770       5.6798
     780       6.0508
     790       5.6289
     800       5.3104
     810       5.4933
     820       5.2583
     830       4.8909
     840       4.6111
     850       4.3255
     860       5.1550
     870       4.8798
     880       5.2814
     890       5.1903
     900       5.3799
     910       5.3135
     920       5.7721
     930       5.6477
     940       5.2833
     950       4.9384
     960       5.2396
     970       5.3688
     980       5.0489
     990       5.4386
    1000       5.7555
    1010       5.4882
    1020       5.6423
    1030       5.2042
    1040       5.2564
    1050       5.3544
    1060       4.9841
    1070       5.2294
    1080       5.6476
    1090       5.2201
    1100       5.9131
    1110       6.3314
    1120       6.2480
    1130       6.1542
    1140       6.4972
    1150       6.2434
    1160       6.1580
    1170       6.3585
    1180       6.2927
    1190       6.4959
    1200       6.5382
    1210       6.4763
    1220       6.4882
    1230       5.8538
    1240       6.0616
    1250       6.4621
    1260       6.1566
    1270       6.0809
    1280       6.3613
    1290       6.4929
    1300       6.6655
    1310       6.4857
    1320       6.5570
    1330       6.7164
    1340       6.7955
    1350       6.6886
    1360       6.5621
    1370       6.3992
    1380       6.6249
    1390       6.5021
    1400       6.4855
    1410       6.8671
    1420       6.9828
    1430       6.6941
    1440       6.4296
    1450       6.6316
    1460       6.7203
    1470       6.9347
    1480       6.8453
    1490       7.1920
    1500       6.8217
    1510       6.8118
    1520       6.8459
    1530       6.8053
    1540       6.4004
    1550       6.1253
    1560       6.3273
    1570       6.6962
    1580       6.8077
    1590       6.9215
    1600       6.8926
    1610       6.5525
    1620       6.7303
    1630       6.5949
    1640       7.0261
    1650       6.6533
    1660       6.7157
    1670       6.7377
    1680       7.3083
    1690       6.9662
    1700       6.6505
    1710       6.5805
    1720       6.3008
    1730       6.6329
    1740       6.5348
    1750       6.4388
    1760       6.4120
    1770       6.0019
    1780       6.2376
    1790       5.9800
    1800       5.6562
    1810       5.3269
    1820       6.1977
    1830       6.0232
    1840       6.0851
    1850       5.9735
    1860       6.4728
    1870       5.9049
    1880       6.0416
    1890       6.0233
    1900       5.6499
    1910       5.7822
    1920       5.2688
    1930       5.5239
    1940       5.7415
    1950       6.1116
    1960       6.0194
    1970       6.3114
    1980       5.9164
    1990       6.2021
    2000       5.9444
    2010       6.3320
    2020       6.7975
    2030       6.4954
    2040       6.0878
    2050       5.8449
    2060       6.0360
    2070       6.3373
    2080       6.1438
    2090       6.3099
    2100       6.8517
    2110       6.6190
    2120       6.3524
    2130       6.5304
    2140       6.7488
    2150       7.1198
    2160       6.9204
    2170       7.0248
    2180       6.9459
    2190       7.0343
    2200       7.0176
    2210       6.9677
    2220       6.9767
    2230       6.7261
    2240       6.6209
    2250       6.4926
    2260       6.2703
    2270       6.3955
    2280       6.5685
    2290       6.7561
    2300       6.0868
    2310       6.2112
    2320       6.3151
    2330       6.1187
    2340       5.7969
    2350       5.6294
    2360       5.4926
    2370       4.9963
    2380       5.2018
    2390       5.2598
    2400       5.7389
    2410       5.3571
    2420       5.2709
    2430       5.1078
    2440       5.5712
    2450       5.1905
    2460       5.5287
    2470       5.0307
    2480       5.3659
    2490       5.7120
    2500       5.8598
    2510       6.3411
    2520       5.7653
    2530       5.8879
    2540       5.3819
    2550       5.3899
    2560       5.4078
    2570       5.2760
    2580       4.8267
    2590       5.7410
    2600       5.7883
    2610       5.9625
    2620       5.6041
    2630       5.2978
    2640       5.6750
    2650       5.8788
    2660       5.9160
    2670       6.2941
    2680       6.2139
    2690       5.8993
    2700       5.6337
    2710       5.4850
    2720       5.6166
    2730       5.2367
    2740       5.0396
    2750       5.4931
    2760       5.7510
    2770       5.9902
    2780       6.2582
    2790       6.4462
    2800       5.8729
    2810       6.0975
    2820       5.7704
    2830       5.4914
    2840       6.1483
    2850       5.9782
    2860       6.0770
    2870       6.2020
    2880       6.6495
    2890       6.5040
    2900       6.2958
    2910       5.9448
    2920       5.7298
    2930       6.0024
    2940       5.6731
    2950       5.6389
    2960       5.7343
    2970       5.9691
    2980       6.0434
    2990       6.7214
    3000       6.3311
    3010       6.3549
    3020       6.2341
    3030       6.0730
    3040       6.1508
    3050       5.6138
    3060       5.3330
    3070       4.8925
    3080       5.1970
    3090       5.1934
    3100       5.6547
    3110       6.2339
    3120       6.0194
    3130       5.8893
    3140       5.4502
    3150       5.2170
    3160       5.5514
    3170       5.6648
    3180       5.4675
    3190       5.7896
    3200       5.7198
    3210       6.2246
    3220       5.9462
    3230       5.7148
    3240       5.8099
    3250       5.9703
    3260       5.6923
    3270       5.8079
    3280       5.7313
    3290       6.1051
    3300       6.0701
    3310       5.7266
    3320       5.6802
    3330       5.8737
    3340       5.3524
    3350       5.5148
    3360       5.2345
    3370       5.2332
    3380       5.2362
    3390       5.4958
    3400       5.4751
    3410       5.8558
    3420       6.2904
    3430       6.4726
    3440       6.0341
    3450       6.4152
    3460       6.7352
    3470       6.5036
    3480       6.3682
    3490       6.6053
    3500       6.6659
    3510       6.6185
    3520       6.4011
    3530       6.2738
    3540       6.4224
    3550       6.0728
    3560       6.1735
    3570       6.3777
    3580       5.5529
    3590       5.8318
    3600       5.6804
    3610       5.9529
    3620       5.3887
    3630       5.4877
    3640       5.2631
    3650       5.5668
    3660       5.4912
    3670       5.9275
    3680       5.5110
    3690       5.3491
    3700       5.2246
    3710       5.6332
    3720       5.5999
    3730       5.4043
    3740       5.7293
    3750       5.4708
    3760       5.5167
    3770       5.7453
    3780       5.1955
    3790       5.7062
    3800       5.7859
    3810       5.5904
    3820       5.6925
    3830       6.2088
    3840       6.3028
    3850       6.4902
    3860       6.2483
    3870       6.5152
    3880       6.0910
    3890       5.9399
    3900       5.9048
    3910       5.6957
    3920       5.7870
    3930       6.0052
    3940       5.5169
    3950       5.4732
    3960       5.4021
    3970       5.6279
    3980       5.8139
    3990       5.7979
    4000       5.7434
    4010       5.6337
    4020       5.6037
    4030       5.6677
    4040       5.9035
    4050       6.0678
    4060       5.7862
    4070       5.6896
    4080       6.1774
    4090       6.0296
    4100       5.6796
    4110       5.5538
    4120       5.6605
    4130       5.4228
    4140       5.6823
    4150       5.9654
    4160       6.4642
    4170       6.1375
    4180       6.0934
    4190       5.7395
    4200       5.8400
    4210       5.9813
    4220       6.0209
    4230       5.3881
    4240       5.7563
    4250       6.1574
    4260       6.1438
    4270       6.5719
    4280       6.3888
    4290       6.3197
    4300       6.8154
    4310       6.5054
    4320       6.2293
    4330       6.1895
    4340       5.8378
    4350       5.7116
    4360       5.6220
    4370       6.0203
    4380       5.7833
    4390       5.8959
    4400       5.7682
    4410       5.5250
    4420       5.7558
    4430       6.0570
    4440       5.9451
    4450       5.4455
    4460       5.5402
    4470       5.6149
    4480       5.5205
    4490       5.4067
    4500       5.7089
    4510       5.7411
    4520       5.4739
    4530       5.5474
    4540       5.4123
    4550       5.9219
    4560       6.2848
    4570       5.9917
    4580       5.8718
    4590       5.8171
    4600       5.6279
    4610       5.5020
    4620       5.8222
    4630       5.6525
    4640       5.5198
    4650       6.0968
    4660       5.9005
    4670       6.2760
    4680       6.2285
    4690       6.1455
    4700       5.5930
    4710       5.8095
    4720       5.8052
    4730       5.9888
    4740       5.9647
    4750       6.3544
    4760       6.3168
    4770       5.6753
    4780       5.8115
    4790       5.6418
    4800       5.6558
    4810       5.2607
    4820       5.4267
    4830       5.5752
    4840       6.3350
    4850       6.3990
    4860       6.5116
    4870       6.7631
    4880       6.3978
    4890       6.4192
    4900       6.4154
    4910       6.1281
    4920       6.5044
    4930       6.2358
    4940       6.2063
    4950       6.0517
    4960       6.2169
    4970       5.9872
    4980       5.8195
    4990       5.8812
    5000       6.0454
    5010       5.8438
    5020       6.2238
    5030       5.6101
    5040       5.7833
    5050       5.9223
    5060       6.3017
    5070       6.3028
    5080       5.9585
    5090       5.9133
    5100       6.0190
    5110       6.4510
    5120       6.2905
    5130       6.3020
    5140       5.7518
    5150       5.6499
    5160       5.2739
    5170       6.1692
    5180       5.7221
    5190       5.8292
    5200       6.2198
    5210       6.0670
    5220       5.7435
    5230       5.5322
    5240       5.9169
    5250       5.6307
    5260       5.3961
    5270       6.0189
    5280       5.5610
    5290       5.7453
    5300       5.7964
    5310       6.1107
    5320       6.0451
    5330       5.5983
    5340       5.4901
    5350       5.5184
    5360       5.8008
    5370       5.7300
    5380       5.4753
    5390       5.5967
    5400       6.0485
    5410       6.7439
    5420       6.3976
    5430       6.6109
    5440       6.2502
    5450       5.7881
    5460       6.0903
    5470       5.9216
    5480       5.9863
    5490       6.6025
    5500       6.6593
    5510       6.2453
    5520       5.9675
    5530       5.5268
    5540       6.1808
    5550       5.9362
    5560       6.1530
    5570       5.7448
    5580       5.7078
    5590       5.8178
    5600       6.1054
    5610       6.0154
    5620       5.8059
    5630       6.0746
    5640       6.2974
    5650       6.4675
    5660       6.6959
    5670       6.7631
    5680       6.3068
    5690       6.0751
    5700       5.9506
    5710       5.8684
    5720       5.8275
    5730       6.0888
    5740       5.9761
    5750       6.2572
    5760       6.5364
    5770       6.8150
    5780       6.8057
    5790       6.6786
    5800       6.5033
    5810       6.5153
    5820       6.5425
    5830       6.2934
    5840       6.6179
    5850       6.6839
    5860       6.3695
    5870       6.3032
    5880       6.2011
    5890       6.1435
    5900       6.1243
    5910       6.0370
    5920       6.0201
    5930       5.5780
    5940       5.5578
    5950       5.4115
    5960       5.2349
    5970       5.6880
    5980       5.6374
    5990       5.8579
    6000       5.8720
    6010       5.9397
    6020       5.7662
    6030       5.9473
    6040       5.8428
    6050       5.6867
    6060       5.1531
    6070       5.0506
    6080       5.1411
    6090       5.5616
    6100       5.6563
    6110       6.0177
    6120       5.6827
    6130       5.6614
    6140       5.4642
    6150       5.5813
    6160       5.3917
    6170       5.4938
    6180       5.8148
    6190       6.0457
    6200       5.7119
    6210       5.7517
    6220       6.2420
    6230       6.1717
    6240       6.0916
    6250       6.3682
