#Frame      Dih_00026 Dih_00027 Dih_00028 Dih_00029 Dih_00030
       1     -37.4171 21.0226 1.3783 -21.1356 35.4231
       2     -30.3635 29.0591 -18.0242 0.7941 18.4725
       3     -25.3961 6.6901 12.7518 -29.3201 33.6114
       4     -31.9933 13.7597 7.5527 -26.2604 35.1632
       5     -44.4638 38.7531 -21.1493 -2.8698 27.2764
       6     -43.2354 43.1615 -25.9688 1.3880 25.6594
       7     -39.5088 37.7390 -20.9872 -0.4548 25.0964
       8     -32.7286 41.8863 -33.0739 16.9653 8.1616
       9     -39.6519 34.9928 -18.3964 -3.2622 25.4242
      10     -40.2153 36.4155 -17.8711 -4.3987 29.2755
      11     -13.7449 18.1456 -16.6716 9.5402 2.4457
      12     -47.2103 51.8001 -36.7251 10.4997 22.9686
      13     -29.6575 28.1921 -17.0485 1.4142 17.1757
      14     -35.0442 34.1156 -20.3677 0.6743 21.0911
      15     -37.7358 27.9613 -10.6161 -9.3768 29.1541
      16     -39.8777 34.8167 -17.0822 -5.8122 28.7520
      17     -39.6645 39.7864 -22.7442 0.8280 22.3984
      18     -43.0696 47.0138 -30.2679 6.3102 23.0003
      19     -38.9142 40.5042 -26.0965 4.0174 22.5597
      20     -38.6781 33.4346 -16.0197 -7.2222 30.1918
      21     -40.5447 25.3679 -1.8170 -22.3926 37.9541
      22     -28.6356 3.1611 20.5133 -38.4447 42.8702
      23     -26.8512 8.3863 12.3034 -28.3633 34.1251
      24     -39.9095 18.9036 8.1771 -33.2515 46.8582
      25     -14.0703 -12.3514 31.6945 -42.2646 35.4710
      26     -23.0365 17.7243 -6.6072 -6.7438 18.5243
      27     -33.0691 24.5115 -7.1279 -13.3353 29.9243
      28     -24.0734 2.1930 18.7037 -33.9259 36.7256
      29     -33.6792 10.5441 13.7445 -34.7249 42.3058
      30     -28.5234 14.1015 3.4377 -21.9113 33.2955
      31     -34.8636 15.8894 7.7608 -29.0236 38.5197
      32     -16.7742 1.8612 13.0937 -23.7957 25.2162
      33     -20.5986 -9.3841 31.5665 -43.5634 40.8164
      34     -21.2113 -4.7799 25.9064 -38.5051 38.0073
      35     -37.1353 8.0256 20.1416 -42.2772 46.1355
      36     -26.0931 1.3898 20.3416 -36.4197 39.7481
