#Frame      Dih_00016 Dih_00017 Dih_00018 Dih_00019 Dih_00020
       1     -38.9202 38.4684 -25.4731 4.9434 21.2764
       2     -43.9265 39.7998 -22.3005 -3.2244 31.1364
       3     -33.0807 31.9429 -19.4339 1.0203 21.0961
       4     -46.3273 44.7145 -27.3968 1.4842 28.3706
       5     -33.6178 45.3042 -35.9960 18.2144 9.3817
       6     -26.5941 43.3120 -37.0444 23.2752 1.1638
       7     -43.8531 50.8564 -40.6653 18.5132 14.8149
       8     -41.7828 43.8543 -29.5972 6.5080 22.2843
       9     -36.7026 40.8686 -28.6074 7.4305 18.4353
      10     -39.1666 40.8685 -29.7984 8.5942 18.9706
      11     -43.5791 39.3004 -22.1561 -2.4906 29.6172
      12     -39.1517 36.8012 -20.5621 -0.1162 24.9150
      13     -33.2710 48.8789 -38.6061 23.5608 5.5235
      14     -53.1576 47.5866 -22.5195 -8.7786 39.0306
      15     -44.1554 35.3852 -15.2803 -11.1815 36.4165
      16     -47.7432 42.0124 -23.1797 -3.4500 32.6193
      17     -42.2410 42.7339 -28.3641 5.1592 21.9613
      18     -40.9979 43.5452 -26.3348 3.5315 23.4001
      19     -46.8214 55.9684 -42.8518 17.8586 19.4486
      20     -40.8032 48.1653 -37.5494 15.9270 16.1696
      21     -57.8719 46.2994 -20.6598 -11.5403 46.4389
      22     -38.4291 33.6872 -16.9801 -5.8652 27.4558
      23     -45.1539 44.1756 -26.3173 -0.7914 28.9203
      24     -41.4916 47.7764 -38.0664 16.9155 14.2925
      25     -47.0207 47.6551 -28.0933 2.9961 28.1809
      26     -43.8138 45.7184 -27.9142 3.0725 26.4166
      27     -47.4095 38.5156 -16.1284 -10.8421 36.5193
      28     -37.7670 40.3817 -28.7749 6.9783 20.7851
      29     -45.8101 49.4209 -36.5493 12.3201 21.3198
      30     -33.7526 43.9584 -33.8457 16.1760 10.3717
      31     -42.3600 44.2690 -31.6256 9.1972 20.0601
      32     -43.9977 43.4408 -22.7030 -3.1010 29.2275
      33     -45.2328 40.0550 -20.9922 -5.2655 33.1766
      34     -47.2613 40.2780 -20.0147 -6.1886 33.4217
      35     -50.2533 46.5563 -24.4135 -4.2115 33.9191
      36     -45.5165 39.0921 -22.7209 -1.0617 28.6357
      37     -32.8206 36.7593 -28.1392 9.0840 15.8234
      38     -48.4448 43.9636 -21.9983 -7.4192 33.6858
      39     -38.7081 34.9349 -16.2895 -6.7240 28.2665
      40     -39.8033 35.8956 -20.3407 -1.6863 26.2327
      41     -44.1372 38.1324 -22.0080 -0.4969 29.2048
      42     -58.4922 46.4564 -21.1136 -11.7554 41.7032
      43     -37.0776 42.7107 -30.1793 7.9579 19.7201
      44     -38.8891 44.5114 -32.2446 11.0535 16.5206
      45     -14.9141 30.5837 -33.3259 24.0874 -5.7388
      46     -23.1406 30.1005 -26.1711 14.3880 5.4959
      47     -24.3716 32.7777 -26.7075 13.4003 6.9533
      48     -42.1777 44.5942 -30.7616 6.6789 21.9757
      49     -35.3212 36.9259 -27.3108 8.4401 17.7074
      50     -44.1317 26.3827 0.0045 -27.5454 47.0989
      51     -37.4469 17.2174 5.2691 -26.3374 39.9256
      52     -32.5638 21.2911 -2.1200 -16.4037 32.5010
      53     -39.0449 35.7087 -20.2207 -2.3695 25.6528
      54     -35.4586 47.7211 -40.9797 19.5026 9.2599
      55     -37.8800 44.9772 -32.2764 12.7230 14.0016
      56     -54.8275 45.8254 -19.0185 -11.6085 43.0791
      57     -28.9066 20.1979 -5.1425 -13.2465 26.1002
      58     -33.9618 16.3222 5.4002 -23.0762 35.1353
      59     -41.7095 23.6939 2.7277 -29.4279 48.5661
      60     -24.0507 10.2599 4.3814 -18.1933 26.5534
      61     -38.5922 24.2966 -2.4059 -20.2610 36.3093
      62     -44.7574 36.9015 -13.6796 -11.1345 35.0928
      63     -26.9799 11.0060 6.6537 -24.7562 33.6544
      64     -36.0499 21.1819 -2.6678 -18.2708 33.0293
      65     -36.3879 29.2789 -9.0689 -12.7975 32.8051
      66     -45.7719 38.6270 -21.3299 -4.2958 32.2004
      67     -25.1765 29.5938 -22.6377 9.3363 10.1467
      68     -39.8614 38.9964 -24.8333 3.4303 21.9169
