#Frame      Dih_00081 Dih_00082 Dih_00083 Dih_00084 Dih_00085
       1     -16.6640 29.6655 -32.1582 25.2258 -4.6992
       2      -0.9268 17.0561 -24.1462 25.5130 -15.8453
       3     -34.4183 32.2916 -21.7433 1.1186 21.7248
       4     -28.8627 42.6982 -36.1712 19.9875 5.4832
       5     -38.8190 24.9001 -5.8667 -15.5716 33.2416
       6     -43.3624 38.8943 -21.3144 -3.2637 30.2304
       7     -48.5956 32.4696 -10.4239 -17.6568 41.1388
       8     -16.0373 32.2701 -34.6001 26.2166 -5.1697
       9     -27.7633 3.5934 19.3157 -35.3820 41.6951
      10     -38.3935 32.0214 -15.8690 -6.2789 29.5127
      11     -45.1477 39.6477 -20.1814 -4.1270 29.1507
      12     -41.8610 43.9362 -30.4929 9.2033 19.7687
      13     -41.1671 26.4262 -1.0232 -23.7727 40.7202
      14     -32.7118 34.7587 -21.9796 5.2787 15.9018
      15     -22.0271 25.5207 -20.5977 9.3004 7.6060
      16       8.0570 6.4158 -16.9086 21.7535 -18.8833
      17     -24.4498 31.6339 -28.3751 16.5751 4.4252
      18     -19.7015 27.4167 -24.6961 15.0718 2.3792
      19     -32.4932 42.2772 -33.9172 15.7333 11.2033
      20     -30.6038 30.7184 -17.2676 0.0863 18.8235
      21     -30.2674 31.7358 -23.1589 5.8909 15.1456
      22     -43.2756 52.8825 -40.5663 17.1677 16.1558
      23     -33.8701 39.0938 -30.2243 11.3360 14.6176
      24     -14.5234 31.8968 -35.2127 28.0064 -9.0300
      25     -34.8079 20.6501 -2.2283 -17.1555 33.3472
      26      -1.4207 18.7558 -26.4737 27.3550 -17.2215
      27      -5.9685 18.7162 -21.3139 19.8411 -9.1682
      28     -14.5068 25.3119 -26.3906 19.8543 -4.0400
      29     -35.2120 45.8671 -35.3251 17.1698 11.1661
      30     -35.3928 36.1781 -22.3725 0.5602 23.8856
      31     -36.6125 46.1388 -39.1729 19.8958 10.0634
      32      -9.9390 30.3126 -35.2474 32.4810 -15.3566
      33     -32.5049 39.4710 -32.5089 15.3963 10.7473
      34     -34.9569 41.6497 -30.5638 8.9547 17.0222
      35     -34.0591 42.9470 -35.9175 18.1135 9.9063
      36      -3.0358 22.3462 -31.0858 33.8213 -18.7855
      37     -30.4012 32.9235 -25.7194 8.6983 14.6953
      38     -29.8854 43.3027 -40.0980 23.8583 4.5158
      39     -24.2366 39.5613 -39.6427 27.5074 -2.1253
      40     -24.6758 38.3870 -34.4977 21.5141 1.5084
      41     -30.1330 34.4609 -24.1409 7.9176 13.6856
      42     -40.6466 24.4018 -2.0548 -20.2153 37.4086
      43     -22.4848 30.7713 -27.5362 14.1163 4.9481
      44     -21.7034 36.0951 -33.7700 23.1992 -1.2385
      45     -36.2081 26.0175 -6.8897 -14.3413 32.2783
      46     -41.9638 24.7753 -1.3450 -23.2515 41.6611
      47     -36.7905 34.6377 -18.8607 -2.7832 26.8128
      48     -31.1743 38.4070 -29.3505 12.0659 12.8204
      49     -18.4446 14.4615 -6.2751 -3.7153 13.8890
      50     -28.8635 32.5317 -21.9369 7.7299 12.2298
      51     -32.3173 41.1180 -33.1240 16.8186 10.4544
      52     -51.0365 39.4741 -16.9968 -10.8534 36.6141
      53     -28.1464 24.7177 -13.4060 -2.3133 18.4280
      54     -38.8863 44.2901 -31.9992 10.6937 17.7582
      55      -4.9968 23.2209 -29.3733 28.0517 -15.7091
      56      -4.1166 25.0227 -33.5695 31.4923 -17.8988
      57     -23.5355 33.5339 -30.8300 17.7322 2.9165
      58      -0.5717 18.1404 -26.3145 27.6000 -17.4651
      59     -20.3524 28.7368 -24.9064 13.7636 4.7833
      60      -9.4967 25.3175 -30.4276 26.9537 -11.6642
      61      -6.7073 18.2934 -22.2460 19.6176 -8.4039
      62     -30.2599 27.7720 -14.8175 -2.6496 20.9125
      63     -35.1795 43.5979 -37.0257 18.4811 9.0351
      64     -20.5272 35.3117 -35.9785 26.0432 -4.2861
      65     -22.7920 31.1597 -26.8462 14.0589 5.5267
      66     -45.7420 30.5664 -4.0840 -22.4140 39.4173
      67     -31.9361 6.3312 17.2349 -35.1829 42.2866
      68     -23.7615 33.4550 -27.3223 16.9694 3.9192
      69     -37.7506 45.2627 -34.5843 13.5699 14.1835
      70     -32.7076 16.8776 3.5581 -24.3394 36.9253
      71     -34.8206 39.7820 -30.4226 9.9760 16.8245
      72     -27.9771 40.0573 -35.1022 21.4744 4.5307
      73     -35.3218 42.2225 -33.3712 12.8130 14.3031
      74     -25.4713 31.3133 -26.3005 12.3824 8.6182
      75     -14.6202 34.9847 -38.9168 31.5889 -11.4469
      76     -23.2578 27.9576 -20.9768 9.6040 7.6295
      77     -38.6901 35.5856 -19.4097 -2.1864 24.9135
      78     -39.6174 36.1139 -17.0140 -5.8834 26.6539
      79     -56.0321 38.5757 -11.2422 -19.5603 48.5511
      80     -41.0921 36.4855 -15.6956 -8.8641 32.9963
      81     -38.7258 39.2537 -24.8830 4.6723 20.8257
      82     -44.5201 46.4751 -31.7219 5.2782 25.9109
      83     -32.1481 45.6414 -39.8746 22.7759 6.8390
      84     -34.9181 39.6706 -29.0196 10.3201 13.6053
      85     -31.5643 35.1871 -27.3850 11.2413 12.5672
      86     -35.2379 33.7997 -20.4055 0.6196 20.8281
      87     -34.1097 40.8337 -34.0966 14.9187 12.7604
      88     -38.6729 38.2509 -22.3813 0.8356 23.8615
      89     -35.3197 26.5893 -7.9047 -12.6179 29.2520
      90     -32.4597 47.0117 -43.7136 26.1131 4.4459
      91     -31.9563 34.5740 -23.2737 4.9068 17.4278
      92     -45.1609 43.4948 -26.6321 0.6745 28.3099
      93     -19.9401 35.1284 -35.2707 24.7205 -3.3905
      94     -44.2990 48.6177 -35.2929 11.2186 19.7363
      95     -21.3561 35.6444 -32.9406 25.2446 -2.6061
      96     -20.8343 24.2514 -18.7673 8.2906 7.9031
      97     -18.2773 38.1554 -41.5998 31.6354 -8.5416
      98     -19.1447 27.8452 -25.8658 15.6782 1.9043
      99     -16.6068 31.4243 -32.6449 25.9609 -5.3556
     100      -9.1948 25.3072 -31.3966 29.4892 -12.6429
     101     -10.9243 19.9047 -20.1564 14.6267 -2.4310
     102      -7.4052 14.2231 -16.6043 13.1239 -3.3117
     103      -0.6755 14.1516 -21.1728 22.7544 -13.4439
     104     -33.2196 30.0835 -17.0646 -1.7907 21.9247
     105     -14.2684 30.9152 -34.1633 27.2432 -8.5664
     106      -7.4669 26.3129 -32.4690 31.3912 -15.3801
     107      -9.1545 29.1395 -36.2570 31.9968 -14.3220
     108     -20.9709 29.9563 -26.5893 16.7148 2.1505
