#Frame      Dih_00161 Dih_00162 Dih_00163 Dih_00164 Dih_00165
       1     -29.1743 3.4963 20.1133 -36.0226 43.8124
       2     -20.6647 -9.4323 33.5102 -43.6051 42.5911
       3      -4.6408 -17.1145 29.4538 -34.2389 24.9943
       4     -22.7890 -9.0220 33.6109 -46.9925 47.1416
       5     -20.5049 -7.0599 29.5711 -43.5152 41.5808
       6     -12.9198 -8.9022 24.1378 -32.5923 28.4118
       7     -17.7540 -11.2995 31.7916 -43.6813 38.1787
       8      -2.2229 -23.4095 39.2176 -38.9977 25.9303
       9      -7.7125 -19.4143 36.6463 -43.6512 31.2599
      10     -17.8699 -5.3791 25.5678 -38.5593 36.2969
      11     -13.8626 -11.5848 30.7610 -38.8210 34.9852
      12     -22.3704 9.9677 5.8212 -19.7779 26.9528
      13     -19.8940 -2.6048 21.4580 -32.9745 35.6603
      14     -34.8541 13.9794 11.0915 -31.6534 40.1487
      15     -42.5892 32.6532 -14.7068 -8.8721 33.7529
      16     -39.4673 27.3159 -5.7997 -18.0161 37.4109
      17     -43.2331 32.8384 -9.3420 -14.1784 35.0841
      18     -38.6356 23.7880 -3.2557 -18.5032 35.2349
      19     -33.6005 35.6819 -24.0647 3.5862 20.3834
      20     -43.8747 45.9827 -30.6171 5.1182 24.0964
      21     -28.5315 23.1230 -9.4651 -6.8019 22.4487
      22     -24.8715 18.8633 -8.2826 -5.1196 19.2822
      23     -29.2748 22.1271 -6.5599 -11.2087 25.9977
      24     -25.8842 29.7337 -24.7451 11.2016 9.1744
      25     -23.5741 34.9043 -31.3501 19.0887 2.5764
      26     -16.6060 15.9879 -8.8447 -1.1340 10.9345
      27     -21.8459 26.6067 -20.0390 8.3275 8.3743
      28     -42.3175 41.8044 -23.8197 0.9680 24.5705
      29     -48.3328 39.8863 -19.8319 -6.8813 33.5728
      30     -27.0975 33.5910 -27.6512 15.1991 6.7418
      31     -43.7302 44.6990 -29.0610 6.1746 22.5048
      32     -43.8262 35.2082 -16.1976 -11.2561 35.7012
      33     -44.8132 34.2436 -13.8602 -10.7680 34.5789
      34     -47.0414 46.6762 -30.3330 3.9719 25.9975
      35     -48.1066 36.3523 -14.9534 -12.1686 36.8450
      36     -37.2156 32.0109 -14.8606 -6.6436 26.3818
      37     -33.2024 41.8203 -33.2855 16.3887 11.8777
      38     -47.5034 47.4566 -27.4988 2.0385 26.0798
      39     -41.0706 48.2143 -35.3257 15.5956 15.1348
      40     -30.1934 38.5128 -30.1254 13.9911 9.3864
      41     -45.8588 52.3035 -38.2353 13.6822 19.1952
      42     -49.0771 53.4412 -34.2048 7.3561 25.6013
      43     -41.6653 47.7925 -34.7681 10.1070 19.6059
