#Frame      Dih_00126 Dih_00127 Dih_00128 Dih_00129 Dih_00130
       1     -36.4077 42.6571 -32.3293 13.6408 13.5027
       2     -41.5074 47.5448 -33.9538 10.1334 20.1550
       3     -39.3127 28.9762 -10.0892 -13.3007 34.2080
       4     -38.2521 42.7798 -28.3506 5.7073 21.4233
       5     -37.0565 21.6573 1.8208 -24.4148 36.6875
       6     -42.5506 27.7772 -3.5367 -20.8051 40.1422
       7     -30.0472 33.3354 -23.4451 7.2930 13.8760
       8     -41.8606 34.6616 -16.1454 -8.3672 32.9405
       9     -43.6813 48.1451 -30.9286 6.7229 22.8180
      10     -25.9662 40.2725 -39.1492 22.9902 1.1430
      11     -22.4084 44.1339 -42.6117 31.0090 -4.9325
      12     -24.5207 31.4115 -25.6309 12.8874 7.0652
      13     -45.3588 51.7763 -41.0443 16.3424 18.3701
      14     -29.2494 37.1972 -31.2092 15.8226 8.7729
      15     -33.5085 45.9417 -37.4700 20.1671 8.6419
      16     -47.9631 46.9024 -29.8394 2.5746 28.3208
      17     -36.4146 41.7804 -30.9864 10.6083 15.6368
      18     -37.2203 37.2729 -24.0709 2.4316 21.9764
      19     -37.9927 34.0359 -18.9550 -3.6106 25.6043
      20     -39.1891 37.4612 -21.4848 -1.8051 26.7546
      21     -34.0994 39.8989 -32.4163 14.5539 12.3721
      22     -25.7711 36.3723 -31.8639 17.0260 5.0952
      23     -24.7832 44.0682 -41.3289 28.2999 -3.0910
      24     -44.8259 44.7852 -30.1302 3.4186 26.4352
      25     -44.4362 51.4272 -36.3974 10.8255 21.6119
      26     -22.0688 32.2071 -28.3104 15.5282 3.9501
      27     -25.8278 37.5240 -34.1677 21.2104 2.8332
      28     -44.9284 44.7551 -30.3343 4.0064 27.1260
      29     -18.6459 33.3343 -32.4623 25.0031 -4.9966
      30     -39.8975 47.9845 -36.5805 15.2260 15.4553
      31     -43.2734 47.7541 -31.5659 9.7844 19.7277
      32     -26.8370 34.6273 -29.5708 14.9565 6.9100
      33     -36.7691 28.7992 -11.6107 -11.3235 30.7826
      34     -40.4471 41.8247 -26.8068 4.3811 22.6793
      35     -33.4115 44.1838 -37.8244 22.3120 6.2810
      36     -51.3438 47.5811 -27.1311 -2.4668 33.2119
      37     -35.5816 43.9505 -35.0553 12.3738 14.9666
      38     -40.0906 50.4858 -42.3021 20.1258 13.3375
      39     -33.9959 45.2879 -37.4810 17.8563 9.9475
      40     -33.9249 38.0708 -28.7607 10.1567 14.5900
      41     -29.2245 42.4649 -39.9111 24.2510 2.7334
      42     -32.7559 46.5015 -40.8922 21.5245 7.3614
      43     -26.8195 38.3525 -31.7330 16.4831 7.1341
      44      -1.2921 18.6813 -28.7804 29.6146 -17.1762
      45     -11.4246 30.0187 -33.9274 31.8273 -12.2632
      46     -14.5543 30.6073 -32.9067 27.8646 -8.3254
      47     -24.6298 37.1422 -33.5249 23.3514 0.8668
      48     -19.1879 34.6652 -35.0941 24.1394 -4.5098
      49     -32.0508 44.9301 -36.1900 17.0120 10.2222
      50     -26.5489 42.9748 -39.7230 26.7607 -0.3467
      51     -40.5471 42.6191 -32.4859 10.4098 19.4942
      52     -49.4090 49.1766 -34.0685 8.4917 24.8634
      53     -19.0788 30.6677 -29.5369 18.8832 -0.2202
      54     -30.9951 42.5536 -34.5965 19.3495 6.7151
      55     -32.2066 47.1245 -42.0880 23.2684 5.8727
      56     -27.6662 45.1827 -40.5824 26.2760 -0.1699
      57     -37.5124 43.5422 -35.2831 14.8683 14.2400
      58     -42.4328 43.5735 -27.6871 4.2147 25.6495
      59     -14.2825 33.2693 -35.6475 29.0858 -9.4769
      60     -15.8719 31.7693 -34.4702 24.9286 -5.6956
      61       0.3570 17.7923 -27.8236 29.5894 -18.5297
      62     -11.0137 20.1768 -20.3889 14.0822 -2.1082
      63     -10.5361 30.0420 -37.6782 32.8055 -14.0720
      64     -24.9267 41.4869 -39.6077 28.9578 -2.7050
      65     -11.8947 32.4650 -38.3235 33.8838 -14.0208
      66     -13.6942 28.5746 -30.6185 23.5723 -6.5206
      67       3.3482 19.4621 -35.2166 37.6383 -24.3164
      68     -14.9005 29.3552 -31.9677 24.0509 -6.0229
      69      -2.2281 21.3147 -30.3846 28.0991 -16.9037
      70     -12.8784 28.8433 -30.9670 24.5094 -7.6978
      71     -16.1645 33.5889 -36.2045 29.9615 -8.6529
      72      -1.0273 23.8571 -34.5311 36.3195 -23.3393
      73       1.5901 19.3063 -31.3362 34.2820 -22.0612
      74     -31.5053 37.7865 -28.7277 12.2153 11.3909
      75     -18.7554 39.7003 -42.6368 31.4093 -8.2159
      76     -21.7865 32.7852 -28.9845 19.1932 1.1985
      77     -16.2153 32.1010 -35.2488 25.9488 -6.8073
      78     -28.7814 35.2039 -29.6770 13.6060 10.0174
      79      -5.4573 26.4709 -34.8335 33.7040 -18.9478
      80      -7.4687 25.9715 -33.1274 29.9853 -14.4632
      81     -31.1403 47.5579 -43.4281 28.3916 1.6076
      82     -25.4807 41.5719 -39.2580 26.5522 -1.3214
      83     -39.8918 45.6566 -35.8359 14.0080 15.7426
      84     -33.7025 33.5894 -23.3404 5.5675 16.7325
      85     -42.2485 36.5851 -19.1227 -5.5452 31.0232
      86     -30.1153 37.6762 -29.3164 12.2337 11.0358
