#Frame            all
      10       0.0000
      20       1.1839
      30       1.3239
      40       1.3702
      50       2.0567
      60       1.8891
      70       1.9182
      80       2.1037
      90       1.8452
     100       1.7591
     110       1.7736
     120       2.0676
     130       1.8222
     140       1.8562
     150       2.1226
     160       2.2396
     170       2.2298
     180       2.0668
     190       1.9715
     200       2.1273
     210       2.4326
     220       2.6149
     230       3.0192
     240       2.8260
     250       3.1993
     260       3.6371
     270       4.2543
     280       4.1714
     290       3.9994
     300       4.1607
     310       3.9820
     320       3.5946
     330       3.3074
     340       3.2544
     350       2.8647
     360       3.6448
     370       3.7028
     380       4.1797
     390       3.5784
     400       3.5166
     410       4.1616
     420       4.5287
     430       4.4752
     440       4.7210
     450       4.8931
     460       5.2576
     470       5.3765
     480       5.7311
     490       5.5637
     500       5.5140
     510       5.4916
     520       5.6725
     530       5.4533
     540       5.9342
     550       6.0034
     560       6.0084
     570       6.0748
     580       6.2666
     590       6.2130
     600       6.3786
     610       6.2387
     620       6.5644
     630       6.2682
     640       6.1640
     650       5.9262
     660       6.3359
     670       6.0077
     680       6.1623
     690       6.1461
     700       6.3839
     710       6.1976
     720       6.0710
     730       5.9476
     740       6.1408
     750       6.5822
     760       6.3165
     770       6.4812
     780       6.4870
     790       6.4617
     800       6.3100
     810       6.3616
     820       6.3763
     830       7.0154
     840       7.1190
     850       6.8769
     860       7.1807
     870       6.9900
     880       7.0544
     890       6.7293
     900       6.4755
     910       6.2815
     920       6.4393
     930       6.3896
     940       6.5957
     950       6.7569
     960       6.5846
     970       6.9996
     980       7.1909
     990       6.8101
    1000       6.9265
    1010       6.4779
    1020       6.2792
    1030       5.9208
    1040       6.1319
    1050       6.2708
    1060       6.5405
    1070       6.5818
    1080       6.6198
    1090       6.7326
    1100       6.6571
    1110       6.4667
    1120       6.7006
    1130       6.3916
    1140       6.5930
    1150       5.9592
    1160       6.1416
    1170       6.5579
    1180       6.3576
    1190       6.4060
    1200       6.9437
    1210       7.1050
    1220       6.7244
    1230       6.2244
    1240       6.1060
    1250       6.3457
    1260       6.8135
    1270       7.2530
    1280       6.3318
    1290       5.8734
    1300       5.6096
    1310       5.8229
    1320       5.7783
    1330       5.7060
    1340       5.9934
    1350       6.1181
    1360       6.6705
    1370       6.2432
    1380       6.1220
    1390       6.2145
    1400       6.0839
    1410       5.9617
    1420       5.8984
    1430       5.9923
    1440       5.9155
    1450       5.8440
    1460       6.1961
    1470       5.9354
    1480       6.0626
    1490       5.5952
    1500       5.4274
    1510       5.5057
    1520       5.8583
    1530       6.1658
    1540       5.4541
    1550       5.6316
    1560       5.8424
    1570       5.7775
    1580       5.3279
    1590       5.6918
    1600       5.8102
    1610       5.7711
    1620       5.9914
    1630       5.7248
    1640       6.2208
    1650       5.9628
    1660       6.2276
    1670       6.4984
    1680       5.9551
    1690       6.2019
    1700       5.9565
    1710       5.5123
    1720       5.3487
    1730       5.7572
    1740       6.1241
    1750       5.8622
    1760       6.0947
    1770       5.8698
    1780       5.8743
    1790       5.9853
    1800       5.9127
    1810       6.2543
    1820       5.9774
    1830       5.8223
    1840       6.1627
    1850       6.0626
    1860       6.2141
    1870       6.1935
    1880       6.5189
    1890       6.1323
    1900       6.0064
    1910       6.2307
    1920       6.3098
    1930       6.0122
    1940       6.1027
    1950       6.1016
    1960       6.1093
    1970       5.7705
    1980       6.2065
    1990       6.2894
    2000       5.6476
    2010       5.8552
    2020       5.9339
    2030       5.9640
    2040       6.0081
    2050       6.1724
    2060       6.0337
    2070       5.5959
    2080       5.6233
    2090       5.5430
    2100       5.1414
    2110       5.1875
    2120       4.9659
    2130       4.6434
    2140       4.8653
    2150       5.2707
    2160       5.6677
    2170       5.3531
    2180       5.3458
    2190       4.9489
    2200       5.2689
    2210       5.7560
    2220       5.6847
    2230       5.7489
    2240       5.8787
    2250       5.8931
    2260       5.7629
    2270       6.0502
    2280       5.9151
    2290       6.0928
    2300       6.0330
    2310       6.3602
    2320       6.0981
    2330       6.6396
    2340       6.3965
    2350       6.1317
    2360       5.7148
    2370       5.9844
    2380       6.0920
    2390       6.1036
    2400       5.8307
    2410       5.5534
    2420       5.7105
    2430       5.9959
    2440       6.1683
    2450       6.0551
    2460       5.5529
    2470       5.7023
    2480       5.8034
    2490       5.9693
    2500       6.0008
    2510       6.0429
    2520       6.4204
    2530       6.3314
    2540       6.1222
    2550       6.2797
    2560       6.1656
    2570       5.7669
    2580       5.5608
    2590       5.5834
    2600       5.6257
    2610       5.8012
    2620       5.5289
    2630       5.7189
    2640       5.7355
    2650       5.4947
    2660       5.7586
    2670       5.4284
    2680       5.8967
    2690       5.9511
    2700       5.6467
    2710       6.1734
    2720       6.2357
    2730       6.5924
    2740       6.7644
    2750       6.4991
    2760       6.9600
    2770       6.6962
    2780       6.4813
    2790       6.8171
    2800       5.7635
    2810       5.9381
    2820       5.8340
    2830       6.1271
    2840       6.2098
    2850       6.1316
    2860       5.8989
    2870       5.8082
    2880       5.6900
    2890       5.8623
    2900       5.5009
    2910       5.5448
    2920       5.3613
    2930       5.2404
    2940       5.1828
    2950       5.2524
    2960       5.7651
    2970       6.0592
    2980       5.7440
    2990       5.4982
    3000       5.1406
    3010       5.2694
    3020       5.2584
    3030       5.1999
    3040       5.2682
